video_id,label,modality,background_music,static_image,voice_over
---g-f_I2yQ_000001,male singing,A,True,False,False
---g-f_I2yQ_000001,people battle cry,A,True,False,False
---g-f_I2yQ_000001,playing timpani,A,True,False,False
---g-f_I2yQ_000001,playing tympani,A,True,False,False
-0BIyqJj9ZU_000030,baby laughter,A,False,False,False
-0BIyqJj9ZU_000030,"child speech, kid speaking",A,False,False,False
-0BIyqJj9ZU_000030,wind noise,A,False,False,False
-0Zg_dXR_6I_000013,wind noise,A,False,False,False
-0p7hKXZ1ww_000030,people sniggering,A,False,False,False
-0pJqpNjft4_000267,car engine starting,A,False,False,False
-0pJqpNjft4_000267,"male speech, man speaking",A,False,False,False
-0pJqpNjft4_000267,people whistling,A,False,False,False
-0pJqpNjft4_000267,wind noise,A,False,False,False
-0pJqpNjft4_000267,wind rustling leaves,A,False,False,False
-1BtY81-D54_000130,female singing,A,True,False,False
-1BtY81-D54_000130,male singing,A,True,False,False
-1BtY81-D54_000130,playing acoustic guitar,A,True,False,False
-1pRmoJIGQc_000010,car passing by,A,False,False,False
-2-wdcN5vOw_000017,wind noise,A,False,False,False
-2Dm0VjW8oM_000001,"bird chirping, tweeting",A,False,False,False
-2sOH8XovEE_000484,"female speech, woman speaking",A,False,False,True
-2sOH8XovEE_000484,"male speech, man speaking",A,False,False,True
-2xiZDEuHd8_000030,"child speech, kid speaking",A,False,False,False
-3-4qmWSJXU_000030,wind noise,A,False,False,False
-3Kv4fdm7Uk_000030,plastic bottle crushing,A,True,False,False
-3Kv4fdm7Uk_000030,playing flute,A,True,False,False
-3rHVsIj1M8_000030,wind noise,A,False,False,False
-3z5mFRgbxc_000030,driving buses,A,False,False,True
-3z5mFRgbxc_000030,"male speech, man speaking",A,False,False,True
-40nDU5Ecgg_000130,baby laughter,A,False,False,False
-40nDU5Ecgg_000130,people sniggering,A,False,False,False
-4kkGS4-qVM_000010,playing cello,A,True,False,False
-4kkGS4-qVM_000010,playing clarinet,A,True,False,False
-4pmCrSdMhg_000030,"donkey, ass braying",A,True,True,False
-4viN_EoxOA_000000,male singing,A,True,False,False
-4viN_EoxOA_000000,playing drum kit,A,True,False,False
-4viN_EoxOA_000000,playing trumpet,A,True,False,False
-5z9IXBJefc_000227,playing tambourine,A,False,False,False
-79qo5MUYBk_000207,train whistling,A,False,False,False
-7TanrCbmME_000030,playing acoustic guitar,A,True,False,True
-7TanrCbmME_000030,playing electric guitar,A,True,False,True
-7YESdyyHVw_000010,"cattle, bovinae cowbell",A,False,False,False
-8C-gydUbR8_000030,playing cymbal,A,False,False,False
-8C-gydUbR8_000030,playing snare drum,A,False,False,False
-8lzdlqUtJQ_000061,"bird chirping, tweeting",A,False,False,False
-A1o1Egi20c_000060,church bell ringing,A,True,False,False
-A1o1Egi20c_000060,striking pool,A,True,False,False
-ABOfhcXwt8_000017,"female speech, woman speaking",A,False,False,False
-ABOfhcXwt8_000017,"male speech, man speaking",A,False,False,False
-AIzKe9X0hA_000006,"subway, metro, underground",A,False,False,False
-AIzKe9X0hA_000006,wind noise,A,False,False,False
-ANxUxvGASw_000010,train whistling,A,False,False,False
-AeiYb4vDK0_000340,"male speech, man speaking",A,False,False,True
-Am9MfJ6Z2o_000060,"child speech, kid speaking",A,False,False,True
-Am9MfJ6Z2o_000060,"male speech, man speaking",A,False,False,True
-BftHoV-kXI_000168,"female speech, woman speaking",A,False,False,False
-BmjFZ1xu5Q_000263,playing drum kit,A,True,False,False
-CGkSDY0mWI_000096,playing drum kit,A,True,False,False
-CZ1LIc8aos_000020,people belly laughing,A,False,False,False
-CZ1LIc8aos_000020,people giggling,A,False,False,False
-Cr0WQoFQQs_000045,wind noise,A,False,False,False
-Cv3gOXEoxA_000040,chicken clucking,A,False,False,False
-D64b_8YJK4_000046,wind noise,A,False,False,False
-DnZ_ZY3lgA_000160,playing snare drum,A,True,False,True
-FoTxwPOz3U_000000,"female speech, woman speaking",A,False,False,False
-FoTxwPOz3U_000000,people coughing,A,False,False,False
-G04QpzSpbU_000020,"male speech, man speaking",A,False,False,False
-GLVzwHQwtw_000069,"male speech, man speaking",A,False,False,False
-GOaBCyC5Js_000087,playing piano,A,False,False,False
-Gr9P8Abnlk_000110,sliding door,A,False,False,False
-Gr9P8Abnlk_000110,toilet flushing,A,False,False,False
-IKnJa9U66I_000150,"female speech, woman speaking",A,False,False,False
-IZbvEO9wzU_000030,playing synthesizer,A,True,False,True
-Ii-kc3ufho_000106,"male speech, man speaking",A,False,True,True
-IvJaK7HLtQ_000030,male singing,A,True,True,False
-IvJaK7HLtQ_000030,playing bongo,A,True,True,False
-IvJaK7HLtQ_000030,playing sitar,A,True,True,False
-JJmkQYZA-4_000020,playing bass drum,A,False,False,True
-JUhUI_KvUI_000026,parrot talking,A,False,False,False
-K-ccLMFE5M_000259,"male speech, man speaking",A,True,False,False
-K1BRF6qng8_000030,vacuum cleaner cleaning floors,A,False,False,False
-KBH8YmHR-0_000050,"male speech, man speaking",A,False,False,True
-KTabIWnPSg_000021,playing bass drum,A,False,False,False
-KqXcm-I2zY_000087,"male speech, man speaking",A,False,False,False
-KqXcm-I2zY_000162,wind rustling leaves,A,False,False,False
-Lmibx_Iu_E_000173,rapping,A,True,False,False
-Lmibx_Iu_E_000173,tractor digging,A,True,False,False
-Lv13WPa4xk_000170,"male speech, man speaking",A,False,False,False
-Lv13WPa4xk_000170,wind noise,A,False,False,False
-LxtesAXWIU_000032,cricket chirping,A,False,True,False
-LxtesAXWIU_000032,sea waves,A,False,True,False
-LxtesAXWIU_000042,cricket chirping,A,False,True,False
-LxtesAXWIU_000042,sea waves,A,False,True,False
-M6K3QoHh40_000030,male singing,A,True,False,False
-M6K3QoHh40_000030,playing synthesizer,A,True,False,False
-M7ZNV6gLo0_000310,bird squawking,A,False,False,False
