video_id,label,modality,background_music,static_image,voice_over
glLQrEijrKg_000300,playing hammond organ,AV,False,False,False
LDoXsip0BEQ_000177,parrot talking,AV,False,False,False
6jiO0tPLK7U_000090,basketball bounce,AV,False,False,False
cRlp5v9BHeE_000011,car passing by,AV,False,False,False
WgZ8KAnnTb8_000030,rapping,AV,False,False,False
ATnl-fq5nAk_000030,playing acoustic guitar,AV,False,False,False
20Nlj7Cz4E0_000030,male singing,AV,False,False,False
2P1uwGQfaPA_000004,alarm clock ringing,AV,False,False,False
NlCfScKw_Mk_000030,playing synthesizer,AV,False,False,False
W1nb2hIeDKc_000021,striking bowling,AV,False,False,False
QDppmIicknY_000030,playing bagpipes,AV,False,False,False
apZT-WEJ--A_000175,people slurping,AV,False,False,False
7rzEesL55fM_000340,playing vibraphone,AV,False,False,False
BLXwpGCn2KQ_000030,orchestra,AV,False,False,False
xElEg-6DBtM_000018,hail,AV,False,False,False
XOI5jgUu3fA_000442,blowtorch igniting,AV,False,False,False
hsmrvZEc_uw_000150,playing electronic organ,AV,False,False,False
si_IAMPOXlQ_000170,playing timpani,AV,False,False,False
2rK6HBRC8HQ_000040,playing castanets,AV,False,False,False
qJ2cY646opA_000000,people slapping,AV,False,False,False
2uYTNgvxVwk_000257,people humming,AV,False,False,False
8vohm5gaLs8_000049,bowling impact,AV,False,False,False
-XxUW9gW6mc_000060,wind rustling leaves,AV,False,False,False
wjmMSonpdT0_000030,helicopter,AV,False,False,False
DUlxiX4ri1Q_000045,alarm clock ringing,AV,False,False,False
DiBKqoKUjOk_000080,goose honking,AV,False,False,False
KPG9s_s8siA_000030,playing vibraphone,AV,False,False,False
Flusa6-SaDM_000090,horse clip-clop,AV,False,False,False
4q9NPjOpWy8_000146,wood thrush calling,AV,False,False,False
2XQzahrQ_tE_000025,sea waves,AV,False,False,False
MVLEz28ZdFU_000010,people coughing,AV,False,False,False
h_GXTAWpJC8_000002,cat growling,AV,False,False,False
QXnFAcMyAHA_000030,playing harp,AV,False,False,False
JrZZVNhUDtY_000127,driving snowmobile,AV,False,False,False
0_8-g2rof7E_000049,"heart sounds, heartbeat",AV,False,False,False
EIzBD62ja8E_000030,playing acoustic guitar,AV,False,False,False
asKuYgAcyIk_000030,car passing by,AV,False,False,False
tV3rvUSlVnY_000030,playing steelpan,AV,False,False,False
N0c6P3Po5J0_000062,cuckoo bird calling,AV,False,False,False
aEYwqY-Zt_k_000011,"donkey, ass braying",AV,False,False,False
GteozUDpJRc_000030,"engine accelerating, revving, vroom",AV,False,False,False
hO7Y77gKIMo_000150,raining,AV,False,False,False
nEmU3E8rras_000012,playing washboard,AV,False,False,False
MnEZwnRuQR8_000030,firing cannon,AV,False,False,False
l-qyJLFOVYI_000000,cheetah chirrup,AV,False,False,False
1cqcTbDxsHM_000130,playing theremin,AV,False,False,False
YXqu1CeA2c4_000044,people giggling,AV,False,False,False
-Tok_g_jgE0_000268,rope skipping,AV,False,False,False
puoRo9q7-ec_000009,disc scratching,AV,False,False,False
m9jDl571rHU_000010,playing hammond organ,AV,False,False,False
6OjIjy7Hc6I_000030,playing synthesizer,AV,False,False,False
PDToHQeouq8_000050,stream burbling,AV,False,False,False
bkIBHUh7LrE_000115,cricket chirping,AV,False,False,False
4enilF4pEko_000000,mouse pattering,AV,False,False,False
_547JTmvb9g_000030,people sniggering,AV,False,False,False
fYhJdb8ka3k_000030,typing on computer keyboard,AV,False,False,False
vb1SalyslCs_000050,sailing,AV,False,False,False
Olfiy3sCF88_000030,duck quacking,AV,False,False,False
145N68nh4m0_000130,police car (siren),AV,False,False,False
sqGwflGZk4Y_000080,playing badminton,AV,False,False,False
DfEOfuu863Q_000016,running electric fan,AV,False,False,False
qoo1sZq09pQ_000180,playing french horn,AV,False,False,False
9PdzaYwgQBE_000030,pumping water,AV,False,False,False
xw3yx95ZsLg_000030,singing bowl,AV,False,False,False
oeNMiCqg9JA_000106,ripping paper,AV,False,False,False
1NkUBIl2Plw_000030,raining,AV,False,False,False
mcYd-WlyCIw_000006,telephone bell ringing,AV,False,False,False
PYislCydAPQ_000030,playing french horn,AV,False,False,False
XzsPKZf62G0_000420,machine gun shooting,AV,False,False,False
CDIex7WRfFo_000025,telephone bell ringing,AV,False,False,False
4oEjg-ZPXBc_000030,playing badminton,AV,False,False,False
40CVvVDVWVM_000051,ferret dooking,AV,False,False,False
uoCay5JXnn4_000000,toilet flushing,AV,False,False,False
h4MaAn43I20_000069,yodelling,AV,False,False,False
wCPEfqnHzNc_000067,alarm clock ringing,AV,False,False,False
eMQySEjyCUw_000160,playing vibraphone,AV,False,False,False
WSuGM1DGvCM_000006,people cheering,AV,False,False,False
kZegES0woJo_000035,snake hissing,AV,False,False,False
zuqaQqmtzXs_000095,playing tuning fork,AV,False,False,False
E4kSn6knAZE_000143,striking pool,AV,False,False,False
BI8YQ3ueD24_000030,tapping guitar,AV,False,False,False
F5e-SEICJP4_000060,playing steelpan,AV,False,False,False
hOua7RdPg38_000090,baby laughter,AV,False,False,False
mSL8MpANRBE_000013,lathe spinning,AV,False,False,False
VzB1ly5SirQ_000380,police radio chatter,AV,False,False,False
dpEVjaFAhAs_000360,hair dryer drying,AV,False,False,False
gyP7-OSixNk_000030,playing hammond organ,AV,False,False,False
mkayu6dgMQs_000190,playing gong,AV,False,False,False
XQHs8qK9HPA_000082,"ice cream truck, ice cream van",AV,False,False,False
bh3M0wYsW1k_000076,alarm clock ringing,AV,False,False,False
RvHRucMiAbw_000000,bull bellowing,AV,False,False,False
YbcsO5O7X9c_000056,dog baying,AV,False,False,False
alYGQZPX7vc_000030,playing piano,AV,False,False,False
khgvtI-pnOE_000012,barn swallow calling,AV,False,False,False
B5KE79I2f-A_000188,wind noise,AV,False,False,False
1_v-Kro86Io_000010,playing harpsichord,AV,False,False,False
MBVEZnvdBUM_000019,metronome,AV,False,False,False
PuvTDLP8lwM_000030,typing on computer keyboard,AV,False,False,False
Y16pPj3zfo4_000007,"alligators, crocodiles hissing",AV,False,False,False
