video_id,label,modality,unsure_a,unsure_v,comment
--U7joUcTCo_000000,people belly laughing,AV,False,False,
--U7joUcTCo_000000,people coughing,AV,False,False,
--U7joUcTCo_000000,people sniggering,AV,False,False,
-0Zg_dXR_6I_000013,missile launch,AV,False,False,
-0Zg_dXR_6I_000013,wind noise,A,False,False,
-0pJqpNjft4_000267,car engine starting,A,False,False,
-0pJqpNjft4_000267,cattle mooing,AV,False,False,
-0pJqpNjft4_000267,cow lowing,AV,False,False,
-0pJqpNjft4_000267,people whistling,A,False,False,
-2sE5CH8Wb8_000030,,,False,False,
-2sOH8XovEE_000484,"female speech, woman speaking",A,False,False,
-2sOH8XovEE_000484,"male speech, man speaking",A,False,False,
-2sOH8XovEE_000484,playing table tennis,AV,False,False,
-2xiZDEuHd8_000030,"child speech, kid speaking",A,False,False,
-2xiZDEuHd8_000030,people burping,A,False,False,
-2xiZDEuHd8_000030,pig oinking,AV,False,False,
-3-4qmWSJXU_000030,car passing by,V,False,False,
-3-4qmWSJXU_000030,raining,AV,False,False,
-3-4qmWSJXU_000030,thunder,AV,False,False,
-3-4qmWSJXU_000030,wind noise,A,False,False,
-3YWuPXHknk_000030,car engine idling,A,False,False,
-3YWuPXHknk_000030,car engine starting,A,False,False,
-7IhwezUrUA_000590,"male speech, man speaking",A,False,False,
-7sg--aJdrc_000049,chimpanzee pant-hooting,AV,False,False,
-7sg--aJdrc_000049,gibbon howling,AV,False,False,
-7tYmeOmsRg_000180,eating with cutlery,AV,False,False,
-7tYmeOmsRg_000180,lip smacking,AV,False,False,
-7tYmeOmsRg_000180,people eating,AV,False,False,
-ANxUxvGASw_000010,"railroad car, train wagon",AV,False,False,
-ANxUxvGASw_000010,"subway, metro, underground",AV,False,False,
-ANxUxvGASw_000010,train wheels squealing,A,False,False,
-BftHoV-kXI_000168,swimming,AV,False,False,
-BftHoV-kXI_000168,underwater bubbling,AV,False,False,
-Cv3gOXEoxA_000040,dog barking,AV,False,False,
-Cv3gOXEoxA_000040,dog baying,AV,False,False,
-E5o64ACjm0_000017,lathe spinning,AV,False,False,
-FoTxwPOz3U_000000,baby babbling,V,False,False,
-FoTxwPOz3U_000000,"child speech, kid speaking",AV,False,False,
-FoTxwPOz3U_000000,"female speech, woman speaking",A,False,False,
-FoTxwPOz3U_000000,people babbling,AV,False,False,
